section name,section type,size
.text.__sfvwrite_r,text,660
.text._fwalk,text,60
.text._fwalk_reent,text,64
.text._fwrite_r,text,156
.text.fwrite,text,30
.text.rshift,text,166
.text.__hexdig_fun,text,42
.text.__gethex,text,1108
.text.L_shift,text,36
.text.__match,text,40
.text.__hexnan,text,312
.text.getenv,text,20
.text._findenv_r,text,116
.text._getenv_r,text,14
.text.__getreent,text,12
.text.__gettzinfo,text,8
.text.gmtime,text,22
.text.gmtime_r,text,412
.rodata._global_impure_ptr,rodata,4
.text.iswspace,text,6
.text.iswspace_l,text,20
.rodata.str1.1,rodata,46307
.rodata._C_numeric_locale,rodata,12
.rodata._setlocale_r.str1.1,rodata,6
.text.__locale_mb_cur_max,text,12
.text._localeconv_r,text,8
.text.__retarget_lock_init_recursive,text,2
.text.__retarget_lock_close_recursive,text,2
.text.__retarget_lock_acquire,text,2
.text.__retarget_lock_acquire_recursive,text,2
.text.__retarget_lock_release,text,2
.text.__retarget_lock_release_recursive,text,2
.text.__swhatbuf_r,text,86
.text.__smakebuf_r,text,124
.rodata._mbrtowc_r.str1.1,rodata,1
.text._mbrtowc_r,text,52
.text.__ascii_mbtowc,text,36
.text,text,5184
.text.memcmp,text,92
.text.memcpy,text,200
.text.memmove,text,212
.text.memset,text,168
.text.validate_structure,text,412
.text.mktime,text,800
.rodata.DAYS_IN_MONTH,rodata,48
.rodata._DAYS_BEFORE_MONTH,rodata,48
.rodata.__month_lengths,rodata,96
.text._Balloc,text,72
.text._Bfree,text,18
.text.__multadd,text,124
.text.__s2b,text,136
.text.__hi0bits,text,64
.text.__lo0bits,text,92
.text.__i2b,text,18
.text.__multiply,text,310
.text.__pow5mult,text,128
.text.__lshift,text,190
.text.__mcmp,text,54
.text.__mdiff,text,236
.text.__ulp,text,88
.text.__b2d,text,160
.text.__d2b,text,164
.text.__ratio,text,100
.text.__copybits,text,70
.text.__any_on,text,66
.rodata.__mprec_bigtens,rodata,40
.rodata.__mprec_tens,rodata,200
.rodata.p05.7384,rodata,12
.text.printf,text,36
.text._putc_r,text,104
.text.swapfunc,text,50
.text.med3.isra.0,text,64
.text.qsort,text,694
.text.srand,text,20
.text.rand,text,56
.text.cleanup_glue,text,22
.text._reclaim_reent,text,124
.text.lflush,text,18
.text.__srefill_r,text,260
.text.frexp,text,112
.text.nan,text,16
.text.__sccl,text,116
.text.nanf,text,12
.text.siscanf,text,80
.text.snprintf,text,102
.text.sprintf,text,64
.text.sscanf,text,80
.text.__sread,text,38
.text.__seofread,text,4
.text.__swrite,text,50
.text.__sseek,text,40
.text.__sclose,text,8
.text.strcasecmp,text,68
.text.strcat,text,64
.text.strchr,text,208
.text.strcpy,text,196
.text.strcspn,text,48
.text.strdup,text,20
.text._strdup_r,text,36
.rodata._strerror_r.str1.4,rodata,1792
.text._strerror_r,text,1132
.text.strerror,text,24
.text.strncasecmp,text,84
.text.strncat,text,92
.text.strncmp,text,132
.text.strncpy,text,116
.text.strndup,text,24
.text._strndup_r,text,64
.text.strnlen,text,44
.text.strpbrk,text,56
.text.strrchr,text,36
.text.strspn,text,48
.text.two_way_long_needle,text,692
.text.strstr,text,400
.text.sulp,text,52
.rodata._strtod_l.str1.1,rodata,18
.text._strtod_l,text,2956
.text._strtod_r,text,12
.text.strtod,text,28
.rodata.fpi.7544,rodata,20
.rodata.fpinan.7580,rodata,20
.rodata.tinytens,rodata,40
.text.strtok,text,28
.text.__strtok_r,text,112
.text._strtol_l.isra.0,text,236
.text._strtol_r,text,4
.text.strtol,text,26
.text._strtoll_l.isra.0,text,300
.text._strtoll_r,text,4
.text.strtoll,text,26
.text._strtoul_l.isra.0,text,244
.text._strtoul_r,text,4
.text.strtoul,text,26
.text._strtoull_l.isra.0,text,308
.text._strtoull_r,text,4
.text.strtoull,text,26
.text.__ssprint_r,text,234
.text._sungetc_r,text,122
.text.__ssrefill_r,text,58
.text._sfread_r,text,122
.text.__ssvfiscanf_r,text,3856
.rodata.basefix.8182,rodata,34
.rodata._svfprintf_r.str1.1,rodata,46
.text._svfprintf_r,text,4884
.rodata.blanks.8611,rodata,16
.rodata.zeroes.8612,rodata,16
.rodata.__ssvfscanf_r.str1.1,rodata,5
.text.__ssvfscanf_r,text,4796
.rodata.basefix.8680,rodata,34
.text.time,text,38
.text.__tzcalc_limits,text,340
.text.__tz_lock,text,12
.text.__tz_unlock,text,12
.text._tzset_unlocked,text,14
.rodata._tzset_unlocked_r.str1.1,rodata,56
.text._tzset_unlocked_r,text,772
.text._user_strerror,text,4
.text.__submore,text,112
.text.__sprint_r,text,104
.rodata._vfprintf_r.str1.1,rodata,59
.text._vfprintf_r,text,5072
.text.__sbprintf,text,128
.rodata.blanks.8626,rodata,16
.rodata.zeroes.8627,rodata,16
.text._vsnprintf_r,text,88
.text.vsnprintf,text,30
.text._vsscanf_r,text,72
.text.vsscanf,text,26
.text.__swbuf_r,text,146
.text._wcrtomb_r,text,44
.text.__ascii_wctomb,text,26
.text.__swsetup_r,text,170
.text.__xpg_strerror_r,text,96
.rodata._ql_powd_nw_deregister.str1.1,rodata,23
.text._ql_powd_nw_deregister,text,96
.rodata._ql_powd_nw_deregisterCB.str1.1,rodata,21
.text._ql_powd_nw_deregisterCB,text,100
.text.quec_shutdown_wait_uart,text,66
.rodata.quec_shutdown_mode.str1.1,rodata,91
.text.quec_shutdown_mode,text,240
.rodata.quec_power_shutdown.str1.1,rodata,46
.text.quec_power_shutdown,text,156
.rodata.quec_shutdown_task.str1.1,rodata,33
.text.quec_shutdown_task,text,192
.rodata.ql_power_down.str1.1,rodata,19
.text.ql_power_down,text,72
.rodata.ql_power_reset.str1.1,rodata,15
.text.ql_power_reset,text,100
.text.ql_get_powerup_reason,text,120
.text.ql_get_boot_cause,text,80
.text.ql_get_pwrkey_status,text,44
.text.ql_pwrkey_callback_register,text,24
.text.ql_pwrkey_longpress_cb_register,text,44
.text.ql_pwrkey_press_cb_register,text,24
.text.ql_pwrkey_release_cb_register,text,24
.text.ql_pwrkey_shutdown_time_set,text,24
.rodata.ql_lpm_wakelock_create.str1.1,rodata,109
.text.ql_lpm_wakelock_create,text,244
.rodata.ql_lpm_wakelock_delete.str1.1,rodata,20
.text.ql_lpm_wakelock_delete,text,148
.rodata.ql_lpm_wakelock_lock.str1.1,rodata,16
.text.ql_lpm_wakelock_lock,text,80
.rodata.ql_lpm_wakelock_unlock.str1.1,rodata,18
.text.ql_lpm_wakelock_unlock,text,80
.text.ql_autosleep_enable,text,20
.rodata.ql_autosleepex_enable.str1.1,rodata,20
.text.ql_autosleepex_enable,text,168
.rodata.ql_psm_timer_mins_check.str1.1,rodata,65
.text.ql_psm_timer_mins_check,text,332
.rodata.ql_psm_sleep_enable.str1.1,rodata,154
.text.ql_psm_sleep_enable,text,524
.text.ql_psm_register_enter_cb,text,32
.text.ql_psm_read_wakeup_pin_cfg_from_nv,text,2
.text.ql_psm_wakeup_pin_init,text,88
.rodata.ql_psm_set_wakeup_pin_cfg.str1.1,rodata,81
.text.ql_psm_set_wakeup_pin_cfg,text,100
.text.ql_psm_get_wakeup_pin_cfg,text,28
.text.ql_psm_set_wakeup_pin,text,120
.text.ql_sleep_register_cb,text,24
.text.ql_wakeup_register_cb,text,24
.text.ql_get_wakeup_source,text,12
.text.ql_get_vchg_vol,text,24
.text.ql_get_vbus_state,text,24
.text.ql_get_battery_vol,text,24
.text.ql_get_battery_level,text,24
.text.ql_get_charge_cur,text,24
.rodata.ql_get_charge_status.str1.1,rodata,21
.text.ql_get_charge_status,text,72
.text.ql_charge_set_config,text,76
.text.ql_charge_get_config,text,36
.text.ql_charge_set_over_temp,text,10
.text.quec_set_sleep_delay_time,text,96
.text.quec_get_sleep_delay_time,text,104
.rodata,rodata,7008
.rodata.quec_modem_attach_notification.str1.1,rodata,26
.text.quec_modem_attach_notification,text,100
.rodata.quec_get_NAT_wan_NetIf.str1.1,rodata,20
.text.quec_get_NAT_wan_NetIf,text,100
.text.quec_getAvailableNetIfBySIMCID,text,88
.rodata.quec_check_netif_exist_or_available.str1.1,rodata,63
.text.quec_check_netif_exist_or_available,text,232
.rodata._getPeerIpv6Prefix.str1.1,rodata,176
.text._getPeerIpv6Prefix,text,340
.text.ql_adc_get_channel_map,text,48
.rodata.ql_adc_get_volt.str1.1,rodata,45
.text.ql_adc_get_volt,text,288
.text.ql_adc_get_volt_raw,text,64
.rodata.ql_CamPowerOn.str1.1,rodata,89
.text.ql_CamPowerOn,text,204
.rodata.ql_CamPowerOff.str1.1,rodata,17
.text.ql_CamPowerOff,text,152
.text.ql_CamClose,text,116
.rodata.ql_CamPreview.str1.1,rodata,73
.text.ql_CamPreview,text,188
.rodata.ql_CamStopPreview.str1.1,rodata,86
.text.ql_CamStopPreview,text,188
.rodata.ql_CamCaptureImage.str1.1,rodata,49
.text.ql_CamCaptureImage,text,164
.rodata.ql_CamGetSensorInfo.str1.1,rodata,26
.text.ql_CamGetSensorInfo,text,68
.rodata.ql_CamPreviewDQBUF.str1.1,rodata,26
.text.ql_CamPreviewDQBUF,text,156
.text.ql_CamPreviewQBUF,text,144
.rodata.ql_CamInit.str1.1,rodata,69
.text.ql_CamInit,text,296
.rodata.ql_camPrint.str1.1,rodata,94
.text.ql_camPrint,text,700
.text.ql_CamSetBufopt,text,120
.text.ql_CamInit0310SPI,text,32
.text.ql_CamI2CRead,text,168
.text.ql_CamI2CWrite,text,160
.rodata.ql_log_set_port.str1.1,rodata,50
.text.ql_log_set_port,text,136
.text.ql_quec_trace_enable,text,12
.text.ql_quec_trace_is_enabled,text,16
.text.quec_fs_trace_fname_combination,text,48
.rodata.quec_fs_trace_path_parm_init.str1.1,rodata,17
.text.quec_fs_trace_path_parm_init,text,68
.rodata.quec_fs_trace_set_log_size.str1.1,rodata,17
.text.quec_fs_trace_set_log_size,text,260
.rodata.ql_log_pcap_get_from_nv.str1.1,rodata,30
.text.ql_log_pcap_get_from_nv,text,36
.text.ql_log_pcap_get,text,24
.text.ql_log_pcap_set,text,48
.rodata.ql_datacall_result_handler.str1.1,rodata,71
.text.ql_datacall_result_handler,text,168
.text.ql_datacall_psm_pdp_linkmode_write,text,104
.text.ql_datacall_try_lock,text,20
.text.ql_datacall_unlock,text,16
.rodata.quec_set_datacall_status.str1.1,rodata,41
.text.quec_set_datacall_status,text,92
.text.quec_get_datacall_status,text,60
.rodata.ql_datacall_msg_process.str1.1,rodata,45
.text.ql_datacall_msg_process,text,520
.rodata.ql_datacall_set_timer_config.str1.1,rodata,120
.text.ql_datacall_set_timer_config,text,328
.rodata.ql_datacall_get_timer_config.str1.1,rodata,44
.text.ql_datacall_get_timer_config,text,176
.text.ql_datacall_pdp_deactive_handler,text,40
.rodata.ql_datacall_wait_ip6_prefix.str1.1,rodata,53
.text.ql_datacall_wait_ip6_prefix,text,104
.text.ql_network_register_wait,text,96
.text.ql_datacall_user_apn_clear,text,64
.text.ql_datacall_user_apn_save,text,68
.text.ql_datacall_user_apn_read,text,68
.rodata.ql_set_data_call_asyn_mode.str1.1,rodata,54
.text.ql_set_data_call_asyn_mode,text,120
.rodata.quec_get_qiact_info.str1.1,rodata,39
.rodata.ql_get_data_call_info.str1.1,rodata,158
.text.ql_get_data_call_info,text,664
.rodata.ql_datacall_register_cb.str1.1,rodata,68
.text.ql_datacall_register_cb,text,344
.text.ql_datacall_unregister_cb,text,268
.rodata.ql_datacall_get_sim_profile_is_active.str1.1,rodata,56
.text.ql_datacall_get_sim_profile_is_active,text,92
.text.ql_bind_sim_and_profile,text,48
.rodata.ql_datacall_tcpip_app_cb.str1.1,rodata,45
.text.ql_datacall_tcpip_app_cb,text,156
.text.ql_get_sim_and_profile,text,60
.rodata.ql_datacall_set_nat.str1.1,rodata,87
.text.ql_datacall_set_nat,text,252
.text.ql_datacall_get_nat,text,32
.rodata.ql_datacall_set_qdmz.str1.1,rodata,70
.rodata.ql_datacall_read_qdmz_from_nv.str1.1,rodata,28
.text.ql_datacall_read_qdmz_from_nv,text,56
.rodata.ql_datacall_read_subnet_from_nv.str1.1,rodata,72
.text.ql_datacall_read_subnet_from_nv,text,56
.rodata.ql_datacall_set_subnet.str1.1,rodata,156
.text.ql_datacall_set_subnet,text,440
.rodata.ql_datacall_get_subnet.str1.1,rodata,18
.text.ql_datacall_get_subnet,text,212
.text.ql_nat_get_subnet,text,124
.rodata.ql_datacall_set_dns_addr.str1.1,rodata,34
.text.ql_datacall_set_dns_addr,text,572
.text.ql_datacall_get_dns_addr,text,480
.rodata.ql_datacall_set_default_pdn_cfg.str1.1,rodata,81
.text.ql_datacall_set_default_pdn_cfg,text,664
.text.ql_datacall_get_default_pdn_cfg,text,112
.rodata.quec_get_default_pdn_info.str1.1,rodata,62
.text.quec_get_default_pdn_info,text,388
.rodata.quec_check_datacall_param.str1.1,rodata,217
.text.quec_check_datacall_param,text,532
.rodata.ql_datacall_resume_pdp_conf.str1.1,rodata,27
.rodata.ql_get_data_call_conf.str1.1,rodata,1
.text.ql_get_data_call_conf,text,236
.text.ql_datacall_get_default_pdn_info,text,340
.rodata.ql_datacall_apn_remap_handler.str1.1,rodata,104
.text.ql_datacall_apn_remap_handler,text,384
.rodata.ql_datacall_apn_remap_set_handler.str1.1,rodata,85
.text.ql_datacall_apn_remap_set_handler,text,232
.rodata.ql_datacall_read_auto_auth_from_nv.str1.1,rodata,77
.text.ql_datacall_read_auto_auth_from_nv,text,132
.text.ql_datacall_set_pdp_auth,text,496
.text.ql_datacall_reset_auto_auth_counter,text,60
.rodata.ql_datacall_retry_auto_auth.str1.1,rodata,80
.text.ql_datacall_retry_auto_auth,text,404
.rodata.ql_datacall_sendevent.str1.1,rodata,21
.text.ql_datacall_sendevent,text,104
.rodata.ql_start_data_call.str1.1,rodata,488
.text.ql_start_data_call,text,1568
.text.ql_datacall_pdp_active,text,176
.rodata.ql_datacall_gprs_act_rsp.str1.1,rodata,157
.text.ql_datacall_gprs_act_rsp,text,560
.rodata.ql_datacall_gprs_att_rsp.str1.1,rodata,50
.text.ql_datacall_gprs_att_rsp,text,140
.rodata.ql_stop_data_call.str1.1,rodata,100
.text.ql_stop_data_call,text,844
.rodata.ql_datacall_psm_wakeup_init.str1.1,rodata,151
.text.ql_datacall_psm_wakeup_init,text,268
.rodata.ql_datacall_psm_get_pdp_link_mode.str1.1,rodata,15
.text.ql_datacall_psm_get_pdp_link_mode,text,164
.text.ql_datacall_psm_set_pdp_link_mode,text,36
.text.ql_datacall_cfw_init,text,40
.rodata.ql_datacall_init.str1.1,rodata,11
.text.ql_datacall_init,text,56
.text.ql_cfunSetCommRsp,text,24
.text.ql_dev_get_imei,text,80
.text.ql_dev_get_firmware_version,text,44
.text.ql_dev_get_firmware_subversion,text,44
.text.ql_dev_get_model,text,44
.text.ql_dev_get_sn,text,72
.text.ql_dev_get_modem_fun,text,80
.rodata.ql_cfun_comm_set.str1.1,rodata,18
.text.ql_cfun_comm_set,text,196
.rodata.quec_notify_sim_detect.str1.1,rodata,117
.text.quec_notify_sim_detect,text,272
.text.ql_dev_set_modem_fun,text,196
.text.ql_dev_get_product_id,text,44
.rodata.ql_dev_check_property.str1.1,rodata,27
.text.ql_dev_check_property,text,60
.rodata.ql_dev_get_cpu_uid.str1.1,rodata,20
.text.ql_dev_get_cpu_uid,text,96
.text.ql_dev_get_temp_value,text,72
.text.ql_dev_cfg_wdt,text,64
.text.ql_dev_feed_wdt,text,14
.text.ql_dev_memory_state,text,8
.text.ql_dev_memory_size_query,text,52
.rodata.ql_get_authorization.str1.1,rodata,23
.text.ql_get_authorization,text,80
.text.ql_dev_get_secure_boot_enable_state,text,32
.rodata.ql_dev_enable_secure_boot_ex.str1.1,rodata,46
.text.ql_dev_enable_secure_boot_ex,text,100
.text.ql_dev_enable_secure_boot,text,6
.text.ql_dev_set_datatransmit_feed_wdt,text,32
.text.ql_dev_get_datatransmit_feed_wdt,text,12
.rodata.ql_dev_get_mac_address.str1.1,rodata,22
.text.ql_dev_get_mac_address,text,76
.rodata.ql_dev_config_dump.str1.1,rodata,21
.text.ql_dev_config_dump,text,176
.text.ql_dev_get_dump_info,text,116
.text.ql_dev_get_sys_srand,text,4
.rodata.CSWTCH.33,rodata,88
.rodata.quec_fill_fota_cfg_parm.part.0.str1.1,rodata,30
.text.quec_fill_fota_cfg_parm.part.0,text,132
.rodata.ql_fota_pack_name_convert_fs.str1.1,rodata,46
.text.ql_fota_pack_name_convert_fs,text,92
.rodata.ql_fs_convert_fota_pack_name.str1.1,rodata,144
.text.ql_fs_convert_fota_pack_name,text,256
.rodata.ql_fota_cfg_PackFileName_verify.str1.1,rodata,69
.text.ql_fota_cfg_PackFileName_verify,text,116
.rodata.ql_fota_get_pack_name.str1.1,rodata,90
.text.ql_fota_get_pack_name,text,148
.rodata.ql_fota_file_reset.str1.1,rodata,57
.text.ql_fota_file_reset,text,184
.rodata.ql_fota_fs_size_judge.str1.1,rodata,113
.text.ql_fota_fs_size_judge,text,168
.rodata.ql_fota_image_verify.str1.1,rodata,153
.text.ql_fota_image_verify,text,420
.rodata.ql_fota_image_verify_without_setflag.str1.1,rodata,25
.text.ql_fota_image_verify_without_setflag,text,396
.rodata.ql_fota_get_result.str1.1,rodata,64
.text.ql_fota_get_result,text,296
.text.ql_fs_errocode_get,text,124
.rodata.ql_fs_get_size.str1.1,rodata,73
.text.ql_fs_get_size,text,324
.rodata.ql_fclose.str1.1,rodata,93
.text.ql_fclose,text,172
.rodata.ql_remove.str1.1,rodata,64
.text.ql_remove,text,132
.rodata.ql_fread.str1.1,rodata,70
.text.ql_fread,text,184
.rodata.ql_nvm_fwrite.str1.1,rodata,27
.text.ql_nvm_fwrite,text,176
.rodata.ql_nvm_fread.str1.1,rodata,26
.text.ql_nvm_fread,text,176
.rodata.ql_cust_nvm_fwrite.str1.1,rodata,12
.text.ql_cust_nvm_fwrite,text,72
.text.ql_cust_nvm_fread,text,72
.rodata.ql_fac_cust_nvm_fwrite_internal.str1.1,rodata,25
.text.ql_fac_cust_nvm_fwrite_internal,text,68
.text.ql_fac_cust_nvm_fread_internal,text,68
.rodata.ql_fac_cust_nvm_fread.str1.1,rodata,21
.text.ql_fac_cust_nvm_fread,text,244
.text.ql_sfs_setkey,text,4
.rodata.ql_fseek.str1.1,rodata,39
.text.ql_fseek,text,148
.rodata.ql_ftell.str1.1,rodata,19
.text.ql_ftell,text,80
.rodata.ql_fstat.str1.1,rodata,23
.text.ql_fstat,text,136
.rodata.ql_stat.str1.1,rodata,24
.text.ql_stat,text,160
.rodata.ql_fsize.str1.1,rodata,22
.text.ql_fsize,text,100
.text.ql_file_exist,text,96
.rodata.ql_frewind.str1.1,rodata,21
.text.ql_frewind,text,80
.rodata.ql_ftruncate.str1.1,rodata,22
.text.ql_ftruncate,text,116
.rodata.ql_mkdir.str1.1,rodata,72
.text.ql_mkdir,text,156
.rodata.ql_opendir.str1.1,rodata,22
.text.ql_opendir,text,108
.text.ql_closedir,text,48
.rodata.ql_readdir.str1.1,rodata,22
.text.ql_readdir,text,64
.rodata.ql_telldir.str1.1,rodata,22
.text.ql_telldir,text,76
.rodata.ql_seekdir.str1.1,rodata,22
.text.ql_seekdir,text,92
.text.ql_rewinddir,text,76
.rodata.ql_rmdir.str1.1,rodata,24
.text.ql_rmdir,text,112
.rodata.ql_rmdir_ex.str1.1,rodata,94
.text.ql_rmdir_ex,text,444
.rodata.ql_rename.str1.1,rodata,43
.text.ql_rename,text,148
.text.ql_fs_free_size,text,8
.rodata.ql_fopen.str1.1,rodata,275
.text.ql_fopen,text,484
.text.ql_open_ex,text,436
.text.ql_open,text,6
.text.ql_fs_free_size_by_fd,text,148
.rodata.ql_fwrite.str1.1,rodata,33
.text.ql_fwrite,text,276
.text.ql_fs_total_size,text,8
.text.ql_fputc,text,72
.text.ql_fputs,text,68
.text.ql_fgetc,text,76
.text.ql_fgets,text,68
.rodata.ql_ferror.str1.1,rodata,17
.text.ql_ferror,text,60
.rodata.ql_fsync.str1.1,rodata,23
.text.ql_fsync,text,80
.text.ql_fscanf,text,88
.text.ql_fprintf,text,110
.rodata.quec_file_dedotdotify.str1.1,rodata,20
.text.quec_file_dedotdotify,text,364
.rodata.quec_file_get_dir_level.str1.1,rodata,3
.text.quec_file_get_dir_level,text,84
.rodata.ql_file_type_get.str1.1,rodata,39
.text.ql_file_type_get,text,96
.text.quec_file_is_name_valid,text,292
.rodata.ql_file_check_path.str1.1,rodata,5
.text.ql_file_check_path,text,280
.rodata.ql_file_path_type_convert.str1.1,rodata,61
.text.ql_file_path_type_convert,text,216
.rodata.ql_file_get_mode.str1.1,rodata,20
.text.ql_file_get_mode,text,356
.rodata.ql_filesys_get_state.str1.1,rodata,29
.text.ql_filesys_get_state,text,72
.rodata.ql_open_file_init.str1.1,rodata,182
.text.ql_open_file_init,text,216
.rodata.ql_open_file_push.str1.1,rodata,61
.text.ql_open_file_push,text,108
.rodata.ql_get_file_info.str1.1,rodata,48
.text.ql_get_file_info,text,284
.text.ql_file_get_mode_by_fd,text,32
.rodata.ql_open_file_pop.str1.1,rodata,80
.text.ql_open_file_pop,text,236
.rodata.ql_open_file_get_cnt.str1.1,rodata,23
.text.ql_open_file_get_cnt,text,104
.rodata.ql_open_file_get_info.str1.1,rodata,23
.text.ql_open_file_get_info,text,220
.rodata.ql_file_check_support_sfs.str1.1,rodata,23
.text.ql_file_check_support_sfs,text,236
.text.ql_file_is_opened,text,42
.text.ql_file_is_opened_by_fd,text,40
.text.ql_get_file_name_by_fd,text,54
.text.ql_property_init,text,20
.rodata.ql_ftp_default_write_cb.str1.1,rodata,13
.text.ql_ftp_default_write_cb,text,76
.rodata.ql_sftp_client_list_cb.str1.1,rodata,81
.text.ql_sftp_client_list_cb,text,364
.text.ql_ftp_default_read_cb,text,60
.text.ql_ftp_client_new,text,48
.text.ql_ftp_client_release,text,26
.text.ql_ftp_client_setopt,text,408
.rodata.ql_ftp_client_open.str1.1,rodata,6
.text.ql_ftp_client_open,text,308
.text.ql_ftp_client_close,text,40
.rodata.ql_ftp_client_get_ex.str1.1,rodata,3
.text.ql_ftp_client_get_ex,text,248
.rodata.ql_ftp_client_put_ex.str1.1,rodata,2
.text.ql_ftp_client_put_ex,text,240
.text.ql_ftp_client_delete,text,96
.text.ql_ftp_client_cwd,text,96
.rodata.ql_ftp_client_lcwd.str1.1,rodata,6
.text.ql_ftp_client_lcwd,text,192
.rodata.ql_ftp_client_pwd.str1.1,rodata,19
.text.ql_ftp_client_pwd,text,260
.text.ql_ftp_client_lpwd,text,88
.text.ql_ftp_client_mkdir,text,96
.text.ql_ftp_client_rmdir,text,96
.text.ftp_list_readline,text,108
.rodata.ql_ftp_client_list_cb.str1.1,rodata,66
.text.ql_ftp_client_list_cb,text,416
.rodata.ql_ftp_client_list.str1.1,rodata,15
.text.ql_ftp_client_list,text,280
.rodata.ql_ftp_client_size.str1.1,rodata,23
.text.ql_ftp_client_size,text,152
.text.ql_ftp_client_rename,text,104
.text.getlong,text,30
.text.ftp_list_parse_permissions,text,120
.rodata.ftp_list_split_ls_uinx.str1.1,rodata,203
.text.ftp_list_split_ls_uinx,text,1552
.rodata.ql_ftp_list_data_parse.str1.1,rodata,162
.text.ql_ftp_list_data_parse,text,1676
.rodata.months,rodata,48
.text.ql_gpio_index_check,text,56
.rodata.ql_pin_pull_up_with_uart_rxd.str1.1,rodata,16
.text.ql_pin_pull_up_with_uart_rxd,text,312
.rodata.ql_gpio_deinit.str1.1,rodata,34
.text.ql_gpio_deinit,text,88
.rodata.ql_gpio_get_direction.str1.1,rodata,28
.text.ql_gpio_get_direction,text,148
.rodata.ql_gpio_set_level.str1.1,rodata,46
.text.ql_gpio_set_level,text,192
.text.ql_gpio_get_level,text,200
.rodata.ql_gpio_set_pull.str1.1,rodata,46
.text.ql_gpio_set_pull,text,228
.text.ql_gpio_set_direction,text,196
.text.ql_gpio_init,text,136
.text.ql_gpio_get_pull,text,188
.rodata.ql_int_register.str1.1,rodata,46
.text.ql_int_register,text,296
.text.ql_int_unregister,text,68
.text.ql_int_enable,text,72
.text.ql_int_disable,text,56
.text.ql_pin_index_check,text,52
.rodata.ql_pin_set_func.str1.1,rodata,70
.text.ql_pin_set_func,text,316
.text.ql_pin_get_func,text,88
.rodata.ql_pin_set_gpio.str1.1,rodata,30
.text.ql_pin_set_gpio,text,132
.text.ql_pin_set_func_internal,text,172
.text.ql_pin_set_drving,text,100
.rodata.ql_httpc_event_listener.str1.1,rodata,46
.text.ql_httpc_event_listener,text,408
.text.ql_httpc_dload_timer_expire,text,12
.rodata.ql_httpc_upload_data_read.str1.1,rodata,20
.text.ql_httpc_upload_data_read,text,92
.rodata.ql_httpc_dload_data_write.str1.1,rodata,54
.text.ql_httpc_dload_data_write,text,252
.rodata.ql_httpc_new.str1.1,rodata,50
.text.ql_httpc_new,text,212
.rodata.ql_httpc_setopt.str1.1,rodata,18
.text.ql_httpc_setopt,text,920
.text.ql_httpc_formadd,text,168
